IDCarro;Oficina;Servico;Mecanico;DataEntrada;DataSaida;Responsavel;Obs;ValorServico
16;ECO GÁS LTDA;renovação de inmetro;Toinho;09/03/2005;09/03/2005;eduardo;;55
10;ECO GÁS LTDA;renovação de inmetro;Toinho;09/03/2005;09/03/2005;klebio;;55
19;ECO GÁS LTDA;renovação de inmetro;Toinho;09/03/2005;09/03/2005;adriano;foi feito a renovação do cilindro.;165
18;ECO GÁS LTDA;renovação de inmetro;Toinho;09/03/2005;09/03/2005;silas;;55
20;ECO GÁS LTDA;renovação de inmetro;Toinho;09/03/2005;09/03/2005;gutemberg;;55
22;ECO GÁS LTDA;renovação de inmetro;Toinho;09/03/2005;09/03/2005;sandro;;55
21;ECO GÁS LTDA;renovação de inmetro;Toinho;09/03/2005;09/03/2005;rostanda;;55
30;ECO GÁS LTDA;renovaçaõ de cilindro;Toinho;10/03/2005;10/03/2005;robson;foi feito a renovação cilindro + renovação inmetro.;165
34;ECO GÁS LTDA;renovação de inmetro;Toinho;10/03/2005;10/03/2005;assis;;165
35;ECO GÁS LTDA;renovação de inmetro;Toinho;09/03/2005;09/03/2005;antonio;;55
12;WCAR PEÇAS E SERVIÇOS;troca de rolamento;Toinho;31/03/2005;31/03/2005;davidson;foi trocado os quatros rolamentos das rodas.foi feito um reparo no banco do motorista que custou r$ 15 reais.;285
43;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;02/04/2005;02/04/2005;zÊ felinto;foi trocado no mesmo dia o filtro de óleo.;25.50
18;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;02/04/2005;02/04/2005;fia;foi trocado so óleo;13.50
15;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;02/04/2005;02/04/2005;lima;foi alinhado e balanceado no mesmo dia.trocado o comando de seta;405
10;WCAR PEÇAS E SERVIÇOS;serviço de cabeçote;Toinho;02/04/2005;02/04/2005;adriano;foi trocado a correia devido ao tensor ter quebrado.foi trocado no mesmo dia a junta homoc.do lado esquerdo.;800
19;WCAR PEÇAS E SERVIÇOS;troca de correia dentada;Toinho;02/04/2005;02/04/2005;adriano;foi trocado esta correia faltando 13000 km p/proxima troca.;50
13;WCAR PEÇAS E SERVIÇOS;troca de correia dentada;Toinho;02/04/2005;02/04/2005;fia;foi trocado no mesmo dia o tensor da correia.FOI FEITO UM REOARO NO BANCO DO MOTORISTA QUE CUSTOU R$15 REAIS.;165
17;WCAR PEÇAS E SERVIÇOS;troca da coifa;Toinho;02/04/2005;02/04/2005;lucio;foi trocado a coifa do lado esquerdo.;35
43;WCAR PEÇAS E SERVIÇOS;comando p/ deficiente;Toinho;02/04/2005;02/04/2005;edson 2;;200
49;NOVO RUMO;troca de óleo;Toinho;01/04/2005;01/04/2005;reserva;foi feito no mesmo dia a revisão de 1000 km.;13
10;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;01/04/2005;01/04/2005;klebio;foi trocado no mesmo dia o filtro de óleo.;20.50
50;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;01/04/2005;01/04/2005;edson 2;;0
50;WCAR PEÇAS E SERVIÇOS;troca de correia dentada;Toinho;01/04/2005;01/04/2005;reserva;;0
44;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;08/04/2005;08/04/2005;erlando;foi trocado so óleo.;13.50
21;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;16/04/2005;16/04/2005;sandro;foi trocado so óleo.;13.50
34;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;09/04/2005;09/04/2005;assis;foi trocado o filtro de óleo.;25.50
50;ECO GÁS LTDA;reinstalação de equipamento de gás;igor;04/04/2005;04/04/2005;edson 2;reistalação custou 180.mesclador 50.cavalete 40.comando 150.faixa 120.inmetro 60.tubulação 30.eletronica 80.limpeza do redutor 30.troca de redutor 270;1010
52;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;08/04/2005;08/04/2005;silas;;0
52;WCAR PEÇAS E SERVIÇOS;troca de correia dentada;Toinho;08/04/2005;08/04/2005;reserva;;0
52;ECO GÁS LTDA;reinstalação de equipamento de gás;igor;07/04/2005;08/04/2005;reserva;mão de obra 180.cavalete 40.comando 150.faixa 120.mesclador 50.tubulação 30.redutor 290.eletronica 70.emulador 60.inmetro 60.;1050
51;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;08/04/2005;08/04/2005;rostanda;;0
51;WCAR PEÇAS E SERVIÇOS;troca de correia dentada;Toinho;08/04/2005;08/04/2005;reserva;;0
51;ECO GÁS LTDA;reinstalação de equipamento de gás;igor;07/04/2005;08/04/2005;reserva;mão de obra 180.cavalete 40.comando 150.faixa 120.mesclador 50.tubulação 30.redutor 290.eletronica 70.emulador 60.inmetro 60.;1050
48;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;16/04/2005;16/04/2005;amaury;;13.50
47;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;13/04/2005;13/04/2005;edson 1;;13.50
15;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;15/04/2005;15/04/2005;lima;foi foi trocado so óleo.;13.50
39;NOVO RUMO;troca de óleo;Toinho;16/04/2005;16/04/2005;tacio;foi feito a revisão dos 12000 km.;68.10
31;WALDIR ACESSORIOS;troca do parabriza;Toinho;16/04/2005;16/04/2005;emmanuel;;250
30;WALDIR ACESSORIOS;troca do parabriza;Toinho;16/04/2005;16/04/2005;robson;foi trocado no mesmo dia o retrovisor interno .;290
25;VANCAR COMÉRCIO DE PEÇAS PARA VEICULOS LTDA;serviço de cabeçote;Toinho;14/04/2005;16/04/2005;antonio;;1400
25;VANCAR COMÉRCIO DE PEÇAS PARA VEICULOS LTDA;troca de óleo;Toinho;16/04/2005;16/04/2005;antonio;foi trocado no mesmo dia o filtro de óleo.;50
48;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;amaury;foi colocado uma capa no banco.friso na porta.;120
47;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;edson 1;foi colocado no mesmo dia uma capa no banco.friso na porta;120
17;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;lucio;;80
15;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;lima;;80
16;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;eduardo;foi feito uma retirada de vazamento no reduto no dia 27/04/05;100
52;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;silas;foi colocado no mesmo dia capa de banco.friso na porta;120
51;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;rostanda;foi colocado no mesmo dia capa de banco.friso das portas.;120
50;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;edson 2;foi colocado no mesmo dia capa de banco.friso das portas.;120
10;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;klebio;;80
19;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;adriano;;80
20;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;gutemberg;;80
21;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;sandro;;80
41;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;tony;foi colocado no mesmo dia o friso nas portas.foi feito uma regulagem no gás na convertigás no dia 27/04/05;125
43;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;zê felinto;;80
44;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;erlando;;80
40;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;reserva;foi colocado no mesmo dia o friso da porta;115
35;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;antonio;;80
34;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;assis;;80
26;WALDIR ACESSORIOS;instalação de cibie;Toinho;26/04/2005;26/04/2005;zÊ felinto;foi trocado no mesmo dia a bozina do mesmo.;720
22;WCAR PEÇAS E SERVIÇOS;troca do benze motor de partida;Toinho;25/04/2005;25/04/2005;thiago;foi trocado o benze.correia dentada.tensor da correia.jogo de carlota.alinhamento.balanciamento.desempeno de coluna.o valor foi dividido p/duas os.;211
22;WCAR PEÇAS E SERVIÇOS;troca de correia dentada;Toinho;25/04/2005;25/04/2005;thiago;foi trocado o tensor da correia no mesmo dia.por prevenção mais faltava 23000 km.;175
40;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;26/04/2005;26/04/2005;gutemberg;foi trocado no mesmo dia o filtro de óleo.foi feito um reparo na faixa lateral e trazeira no dia 28/04/05.;90.50
12;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;davidson;;80
12;WCAR PEÇAS E SERVIÇOS;troca de cabos e velas;Toinho;26/04/2005;26/04/2005;davidson;foi trocado cabo.velas.pastilha de freio.óleo do cambio.;205
18;WALDIR ACESSORIOS;capa de banco;Toinho;26/04/2005;26/04/2005;fia;;80
31;WALDIR ACESSORIOS;capa de banco;Toinho;16/04/2005;16/04/2005;emmanuel;;80
48;WCAR PEÇAS E SERVIÇOS;troteção do carte;Toinho;21/04/2005;21/04/2005;amaury;;36
47;WCAR PEÇAS E SERVIÇOS;troteção do carte;Toinho;16/04/2005;16/04/2005;edson 1;;36
52;WCAR PEÇAS E SERVIÇOS;troteção do carte;Toinho;21/04/2005;21/04/2005;silas;;36
51;WCAR PEÇAS E SERVIÇOS;troteção do carte;Toinho;21/04/2005;21/04/2005;rostanda;;36
50;WCAR PEÇAS E SERVIÇOS;troteção do carte;Toinho;21/04/2005;21/04/2005;edson 2;;36
30;WALDIR ACESSORIOS;capa de banco;Toinho;16/04/2005;16/04/2005;robson;;80
44;ECO GÁS LTDA;limpeza do redutor;igor;22/04/2005;22/04/2005;erlando;;30
19;WCAR PEÇAS E SERVIÇOS;serviço de cabeçote;Toinho;01/04/2005;01/04/2005;adriano;foi feito este serviço devido a correia quebra faltando 13000 km (tensor da correia.junta cabeçote.junta tuche.junta coletor.valvula de escape.val.de admissão.jogo de balanci.polia da correia.serviço de retifica).;750
22;WALDIR ACESSORIOS;capa de banco;Toinho;16/04/2005;16/04/2005;thiago;;80
31;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;30/04/2005;30/04/2005;emmanuel;foi trocado so óleo.;13.50
19;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;30/04/2005;30/04/2005;adriano;foi trocado filtro de óleo.;20.50
20;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;30/04/2005;30/04/2005;fia;foi trocado so óleo.foi consertado o retrovisor do lado direito;33.50
41;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;28/04/2005;28/04/2005;tony;foi trocado filtro de óleo.;20.50
41;WCAR PEÇAS E SERVIÇOS;troca do benze motor de partida;Toinho;28/04/2005;28/04/2005;tony;;80
30;BRAZMOTORS VEICULOS E PEÇAS LTDA.;Troca de Bateria;Toinho;29/04/2005;29/04/2005;robson;;139
15;WCAR PEÇAS E SERVIÇOS;troca de pastilha de freio;Toinho;29/04/2005;29/04/2005;lima;;55
31;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;29/04/2005;29/04/2005;emmanuel;foi trocado as palhetas do limpado no mesmo dia.;330
31;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;29/04/2005;29/04/2005;emmanuel;foi trocado so óleo.;13.50
30;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;21/04/2005;21/04/2005;robson;foi trocado no mesmo dia o filtro de óleo.;20.50
17;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;02/05/2005;02/05/2005;lucio;foi trocado só óleo.;13.50
20;RECORTE SINALIZAÇÃO;troca de faixa completa;Toinho;02/05/2005;02/05/2005;reserva;foi feito no mesmo dia uma lavagem completa na autoclin que custou r$ 50 reais.inatalação de friso;225
20;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;03/05/2005;03/05/2005;reserva;foi alinhado e balanceado no mesmo dia.foi trocado duas lampadas do painel do carro;335
20;BRAZMOTORS VEICULOS E PEÇAS LTDA.;Troca de Bateria;Toinho;03/05/2005;03/05/2005;reserva;;139
18;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;07/05/2005;07/05/2005;reserva;foi trocado só óleo.;13.50
10;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;07/05/2005;07/05/2005;klebio;foi trocado só óleo.;13.50
44;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;06/05/2005;06/05/2005;erlando;foi trocado óleo e filtro.capa na direção;28.50
18;RECORTE SINALIZAÇÃO;troca de faixa completa;Toinho;04/05/2005;04/05/2005;reserva;foi feito no mesmo dia uma lavagem complete que custou r$ 50 reais na autoclim.instalação de friso;225
35;WCAR PEÇAS E SERVIÇOS;troca de pastilha de freio;Toinho;06/05/2005;06/05/2005;antonio;;50
22;WCAR PEÇAS E SERVIÇOS;troca de lâmpadas;Toinho;06/05/2005;06/05/2005;thiago;;15
17;RECORTE SINALIZAÇÃO;troca de faixa completa;Toinho;06/05/2005;06/05/2005;lucio;foi feito uma lavagem completa no mesmo dia na autoclim;190
16;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;06/05/2005;06/05/2005;eduardo;foi colocado dois pneus na dianteira.alinhado e balanceado.;305
16;RECORTE SINALIZAÇÃO;troca de faixa completa;Toinho;06/05/2005;06/05/2005;eduardo;foi feito uma lavagem completa na autoclim.instalação de friso;225
12;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;09/05/2005;09/05/2005;davidson;foi feito no dia 05/05/05 uma solda na coluna em geraldo que custou r$ 30 reais.;13.50
52;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;09/05/2005;09/05/2005;silas;foi colocado uma capa na direção;23.50
50;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;09/05/2005;09/05/2005;edson 2;foi colocado uma capa na direção.;23.50
10;RECORTE SINALIZAÇÃO;troca de faixa completa;Toinho;09/05/2005;09/05/2005;klebio;foi feito uma lavagem na auto clim.colocado frisos em waldir acessorios.;225
19;PINT CAR;pintura diversos;Toinho;11/05/2005;13/05/2005;adriano;foi pintado o capú.feito uma lavegem completa.colocado o friso das portas.foi trocado um rolamento trazeiro do lado direito;470
15;WCAR PEÇAS E SERVIÇOS;troca de cabos e velas;Toinho;11/05/2005;11/05/2005;lima;foi feito no mesmo dia uma limpeza dos bicos.limpeza do modulo.troca do filtro de combustivel.filtro de ar.jogo de junta do tbi.;220
34;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;13/05/2005;13/05/2005;assis;foi trocado só óleo.;13.50
16;WCAR PEÇAS E SERVIÇOS;troca de correia dentada;Toinho;12/05/2005;12/05/2005;eduardo;foi trocado estra correia faltando 7800 km para proxima troca devido a outro ter quebrado.;50
16;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;12/05/2005;12/05/2005;eduardo;foi trocado no mesmo dia o filtro de óleo.;20.50
16;WCAR PEÇAS E SERVIÇOS;serviço de cabeçote;Toinho;12/05/2005;12/05/2005;eduardo;foi trocado jogo de vela.correia dentada.tensor da correia.junta cabeçote.junta tuche.junta carte.junta coletor admissão.junta coletor escape.jogo retentor de val.balanci.uma val. De admissão.uma val.de escape.mão de obra da retifica.;452
43;RADIOLAB SERVICE LTDA;conserto rádio;Toinho;11/05/2005;11/05/2005;zê felinto;foi consertado o ptt.trocado o botão de liga o rádio.;25
18;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;17/05/2005;17/05/2005;reserva;foi colocado dois pneus na dianteira.alinhado.balanceado.trocado dois rolamentos do moto de partida.kit trambulador.jogo de pastilha.;485
15;PINT CAR;lanternagem diversos;Toinho;17/05/2005;20/05/2005;lima;foi pintado a mala trazeira.lavado geral.trocado faixa;370
47;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;19/05/2005;19/05/2005;edson 1;foi trocado so óleo.colocado uma proteção na direção.;23.50
31;WCAR PEÇAS E SERVIÇOS;troca de pastilha de freio;Toinho;19/05/2005;19/05/2005;emmanuel;foi locolado a proteção da direção;65
12;WCAR PEÇAS E SERVIÇOS;troca de junta homoc.;Toinho;19/05/2005;19/05/2005;davidson;foi trocado as duas homocineticas;310
34;AUTO ELÉTRICA DO GERALDO;troca do benze motor de partida;Toinho;21/05/2005;21/05/2005;assis;foi colocado uma capa na direção;50
51;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;23/05/2005;23/05/2005;rostanda;foi colocado uma capa na direção;23.50
35;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;23/05/2005;23/05/2005;antonio;foi colocado uma capa na direção;23.50
30;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;25/05/2005;25/05/2005;robson;;13.50
25;VANCAR COMÉRCIO DE PEÇAS PARA VEICULOS LTDA;serviço de cabeçote;Toinho;16/05/2005;25/05/2005;antonio;foi trocado tres bielas.embuchamento das bielas.um jogo de camisa.junta do cabeçote.aditivo.;1634
25;VANCAR COMÉRCIO DE PEÇAS PARA VEICULOS LTDA;troca de óleo;Toinho;24/05/2005;24/05/2005;antonio;foi trocado filtro de óleo.filtro de ar.;107.50
43;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;25/05/2005;25/05/2005;zê felinto;foi trocado so óleo.capa na direção;23.50
48;ARTESTOFADOS;capa de direção;Toinho;23/05/2005;23/05/2005;amaury;;10
41;ARTESTOFADOS;capa de direção;Toinho;25/05/2005;25/05/2005;tony;;10
26;ARTESTOFADOS;capa de direção;Toinho;25/05/2005;25/05/2005;zê felinto;;10
40;ARTESTOFADOS;capa de direção;Toinho;25/05/2005;25/05/2005;gutemberg;;10
15;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;25/05/2005;25/05/2005;lima;foi trocado filtro de óleo no mesmo dia.;28.50
31;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;22/06/2005;22/06/2005;emmanuel;foi trocado no mesmo dia o filtro de óleo.;21.50
48;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;09/06/2005;09/06/2005;amaury;;14.50
21;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;08/06/2005;08/06/2005;lima;;14.50
41;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;09/06/2005;09/06/2005;tony;;14.50
21;BRAZMOTORS VEICULOS E PEÇAS LTDA.;Troca de Bateria;Toinho;30/05/2005;30/05/2005;sandro;foi colocado no mesmo dia uma placa na dianteira que sandro perdeu dando aula.;150
18;JEOKAR AUTO PEÇAS LTDA.;troca da palheta do limpado;Toinho;31/05/2005;31/05/2005;reserva;;35
12;JEOKAR AUTO PEÇAS LTDA.;troca da palheta do limpado;Toinho;01/06/2005;01/06/2005;davidson;;35
19;WCAR PEÇAS E SERVIÇOS;troca dos cabos de vela;Toinho;01/06/2005;01/06/2005;adriano;foi trocado o filtro de ar.regulado as velas na convertigás.;112
16;WCAR PEÇAS E SERVIÇOS;troca do cabo de embreagem;Toinho;02/06/2005;02/06/2005;eduardo;;40
12;WCAR PEÇAS E SERVIÇOS;troca de bomba d agua;Toinho;02/06/2005;02/06/2005;davidson;;115
46;NOVO RUMO;diversos moto;Toinho;03/06/2005;03/06/2005;tacio;foi feito a revisão de 20000 km;57.10
46;NOVO RUMO;troca de óleo;Toinho;03/06/2005;03/06/2005;tacio;;11
44;REAL CAR SERVIÇOS AUTOMOTIVOS;alinhamento.balanciamento;Toinho;04/06/2005;04/06/2005;erlando;foi colocado dois pneus na dianteira que estava como suporte.;15
43;REAL CAR SERVIÇOS AUTOMOTIVOS;alinhamento.balanciamento;Toinho;04/06/2005;04/06/2005;zê felinto;foi feito rodizio nos pneus.;15
46;NOVO RUMO;diversos moto;Toinho;23/05/2005;23/05/2005;tacio;foi trocado um peneu trazeiro.disco de embreagem.cabo de embreagem.alavanca embreagem.;297.15
12;JEOKAR AUTO PEÇAS LTDA.;Troca de Bateria;Toinho;08/06/2005;08/06/2005;davidson;foi trocado esta bateria na garantia.;0
17;AUTO ELÉTRICA DO GERALDO;troca do benze motor de partida;Toinho;08/06/2005;08/06/2005;lucio;foi feito uma regulagem no gás;75
20;AUTO ELÉTRICA DO GERALDO;troca do contato de ignição;geraldo;08/06/2005;08/06/2005;fia;foi comprado o contato na jeokar no valor de r$80 reais.;100
10;AUTO ELÉTRICA DO GERALDO;troca do contato de ignição;geraldo;08/06/2005;08/06/2005;klebio;foi comprado o contato na jeokar por R$ 80 reais.;100
41;WCAR PEÇAS E SERVIÇOS;troca de pastilha de freio;Toinho;09/06/2005;09/06/2005;tony;;55
30;WCAR PEÇAS E SERVIÇOS;troca de pastilha de freio;Toinho;09/06/2005;09/06/2005;robson;;50
40;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;09/06/2005;09/06/2005;gutemberg;;14.50
40;WCAR PEÇAS E SERVIÇOS;troca de pastilha de freio;Toinho;09/06/2005;09/06/2005;gutemberg;;55
52;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;10/06/2005;10/06/2005;silas;foi trocado so óleo.;14.50
20;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;10/06/2005;10/06/2005;fia;foi trocado o filtro de ar.filtro de combustivel.regulado as velas.regulado o gás.;38.50
50;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;17/06/2005;17/06/2005;edson 2;;14.50
45;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;17/06/2005;17/06/2005;reserva;;14.50
21;WCAR PEÇAS E SERVIÇOS;troca da base de macha do uno;Toinho;11/06/2005;11/06/2005;sandro;foi trocado a base do motor.base da caixa.;88
18;WCAR PEÇAS E SERVIÇOS;troca dos cabos de vela;Toinho;13/06/2005;13/06/2005;emmanuel;;95
25;OSAKA IMPORTADOS LTDA;troca do sensor de temperatura;Toinho;10/06/2005;10/06/2005;antonio;foi trocado no mesmo dia a tampa do radiador;211
35;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;10/06/2005;10/06/2005;antonio;foi colocado dois pneus na trazeira.alinhado e balanceado.;310
20;WCAR PEÇAS E SERVIÇOS;troca dos cabos de vela;Toinho;13/06/2005;13/06/2005;fia;;95
16;WCAR PEÇAS E SERVIÇOS;troca de rolamento do alternador;Toinho;14/06/2005;14/06/2005;eduardo;foi trocado no mesmo dia a correia do alternador.;69
19;WCAR PEÇAS E SERVIÇOS;troca de rolamento do alternador;Toinho;15/06/2005;15/06/2005;adriano;foi trocado no mesmo dia o rele de pisca.;75
19;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;17/06/2005;17/06/2005;adriano;so foi trocado óleo.;14.50
18;RADIOLAB SERVICE LTDA;conserto rádio;Toinho;15/06/2005;15/06/2005;emmanuel;;25
35;BRAZMOTORS VEICULOS E PEÇAS LTDA.;Troca de Bateria;Toinho;15/06/2005;15/06/2005;antonio;;139
10;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;16/06/2005;16/06/2005;klebio;foi trocado só óleo.;14.50
12;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;17/06/2005;17/06/2005;davidson;foi trocado só óleo;14.50
44;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;17/06/2005;17/06/2005;erlando;foi trocado só óleo.;14.50
34;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;17/06/2005;17/06/2005;assis;foi trocado só óleo.;14.50
34;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;17/06/2005;17/06/2005;assis;foi colocado dois pneis na trazeira do veiculo.alinhado.balanceado.;315
49;NOVO RUMO;capa para chuva;Toinho;17/06/2005;17/06/2005;tacio;foi feito a revisão de 4000 km;75
49;NOVO RUMO;troca de óleo;Toinho;17/06/2005;17/06/2005;tacio;;12
12;WCAR PEÇAS E SERVIÇOS;troca do suporte do braço do tensor;Toinho;17/06/2005;17/06/2005;davidson;foi cobrado r$20 reais de mão de obra.;60
19;WCAR PEÇAS E SERVIÇOS;troca de bomba d agua;Toinho;18/06/2005;18/06/2005;adriano;foi colocado uma cabeça de macha nova neste carro.;164
19;AUTO ELÉTRICA DO GERALDO;troca de correia dentada;Toinho;18/06/2005;18/06/2005;adriano;foi trocado esta correia por prevenção;50
18;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;22/06/2005;22/06/2005;davidson;foi trocado óleo e filtro.;21.50
47;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;21/06/2005;21/06/2005;edson 1;foi trocado óleo e filtro de óleo.;21.50
20;WCAR PEÇAS E SERVIÇOS;troca do benze motor de partida;Toinho;20/06/2005;20/06/2005;fia;teve que paga um reboque.foi colocado uma palheta no vidro trazeiro.;186
15;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;30/06/2005;30/06/2005;klebio;foi trocado so óleo.;14.50
39;NOVO RUMO;capa para chuva;Toinho;26/06/2005;26/06/2005;tacio;;75
46;NOVO RUMO;capa para chuva;Toinho;26/06/2005;26/06/2005;tacio;;75
43;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;28/06/2005;28/06/2005;ze felinto;foi alinhado e balanceado.;305
31;BRAZMOTORS VEICULOS E PEÇAS LTDA.;Troca de Bateria;Toinho;28/06/2005;28/06/2005;reserva;;139
17;WCAR PEÇAS E SERVIÇOS;troca de colar.plator.disco;Toinho;28/06/2005;29/06/2005;lucio;;312
21;WCAR PEÇAS E SERVIÇOS;troca do benze motor de partida;Toinho;30/06/2005;30/06/2005;reserva;foi feito no mesmo dia um serviço de solda.;103
34;WCAR PEÇAS E SERVIÇOS;troca de coifa;Toinho;30/06/2005;30/06/2005;assis;;25
15;WCAR PEÇAS E SERVIÇOS;troca do mangote de agua;Toinho;02/07/2005;02/07/2005;lima;limpeza do radiador.FOI TROCADO NO DIA SEGUINTE A ESPOLETA DO BLOCO.;133
22;PINT CAR;lanternagem diversos;Toinho;24/05/2005;01/06/2005;thiago;foi trocado capu.paralama.bigode.terminal.parachoque.lanterna.farol.pisca.pastilha.alinhado.reboque.;2536
17;PARA FIAT;troca do sensor de rotação;igor;04/07/2005;04/07/2005;lucio;;130
16;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;07/07/2005;07/07/2005;eduardo;so foi trocado óleo.;14.50
30;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;07/07/2005;07/07/2005;robson;so foi trocado óleo.foi trocado tambem a empunhadura da alavanca.;29.50
35;WCAR PEÇAS E SERVIÇOS;troca de óleo;Toinho;07/07/2005;07/07/2005;antonio;foi trocado óleo e filtro de óleo.;22.50
19;WCAR PEÇAS E SERVIÇOS;troca de colar.plator.disco;Toinho;02/07/2005;02/07/2005;adriano;foi trocado no mesmo dia o benzi.naylon da macha.;427
41;WCAR PEÇAS E SERVIÇOS;troca de cabos e velas;Toinho;06/07/2005;06/07/2005;tony;;130
30;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;06/07/2005;06/07/2005;robson;foi colocado quatro pneus neste carro.;595
16;AUTO ELÉTRICA DO GERALDO;troca do tanque do radiador;Toinho;06/07/2005;06/07/2005;eduardo;;70
22;BRAZMOTORS VEICULOS E PEÇAS LTDA.;Troca de Bateria;Toinho;08/07/2005;08/07/2005;thiago;foi trocado esta bateria devido outa apresenta um problema de fabrica e não esta mais na garantia.;138
